name,label,Sum,location1,location2,location3,location4,location5,location6,location7,location8,location9,size1,size2,focus1,focus2,location,bright1,bright2,yaw,pitch,roll,contrast1,contrast2
(0)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,1.0,0.0016455010066594394,0.1539421748947958,0.6542343467086928,8,0.7195886749541385,0.6990993271715916,35.681915283203125,11.54534912109375,-0.7315750122070312,0.9903544354929964,1.0924384092654906
(1)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.8470588235294118,0.0013938361468174075,0.2256007054432179,0.9587738398754658,8,0.6896102642649009,0.6699745125768437,34.36198425292969,3.7823333740234375,-6.764434814453125,0.9835215849103052,1.0849012405976004
(2)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.4235294117647059,0.0006969180734087037,0.2524155287331604,1.0727333731170456,4,0.6520637183059601,0.6334970554806969,30.375030517578125,8.073532104492188,0.59783935546875,0.9871374926298171,1.0888898696536091
(3)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.9388235294117647,0.0015448350627226266,0.27575495804009537,1.1719229311157648,9,1.0,0.9715263059360228,26.792160034179688,0.16042327880859375,-4.210304260253906,0.9797864834648325,1.0807811315383562
(4)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.49411764705882355,0.0008130710856434877,0.1525393453979291,0.648272502658786,5,0.5670123924013677,0.5508674550096475,45.182342529296875,10.425636291503906,3.3602447509765625,1.0,1.1030782214063364
(5)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.7152941176470589,0.0011770171906458108,0.13023316997259052,0.5534741401116862,9,0.7447137876055299,0.7235090350520245,47.886322021484375,4.094818115234375,-1.1468124389648438,0.992712294795949,1.0950393125117182
(6)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.5270588235294118,0.0008672758246863868,0.22110486692814976,0.9396671072609404,4,0.7165473580862142,0.6961446078297162,-10.061210632324219,10.892463684082031,-9.150314331054688,0.9862639815317045,1.0879263185851245
(7)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.72,0.0011847607247947964,0.16292961997064034,0.6924298266789722,7,0.6756704062926905,0.6564315738558293,20.542144775390625,12.14337158203125,2.1315536499023438,0.991822025664977,1.0940572760221525
(8)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.5505882352941176,0.0009059934954313148,0.18358764757725876,0.7802237740149927,5,0.5619478162103874,0.5459470860116927,24.15991973876953,12.356163024902344,-2.467071533203125,0.997054638271727,1.0998292570297146
(9)007wnN54ly1gdogtayabyj30hi0ncjub.jpg,1,28,0,0,0,4,10,8,2,2,2,0.3952941176470588,0.0006504568685147901,0.35811429129727346,1.521939452746024,6,0.6592519363140833,0.6404805983683916,43.00904846191406,8.229743957519531,-3.024871826171875,0.9573284443837082,1.0560081577324756
