name,index,x1,y1,x2,y2,label,remarks
(0)000000037274.jpg,0,55,30,194,214,1,2
(1)000000037274.jpg,1,367,3,460,57,0,1
(0)000000107913.jpg,0,213,8,238,40,0,2
(1)000000107913.jpg,1,299,19,321,45,0,2
(2)000000107913.jpg,2,340,16,366,46,0,2
(3)000000107913.jpg,3,51,11,76,45,0,2
(4)000000107913.jpg,4,157,20,183,49,0,2
(5)000000107913.jpg,5,285,84,316,124,1,2
(6)000000107913.jpg,6,112,1,134,30,0,2
(0)000000006504.jpg,0,216,113,278,196,1,2
(1)000000006504.jpg,1,434,101,523,213,1,2
(2)000000006504.jpg,2,0,83,67,180,1,2
(3)000000006504.jpg,3,576,130,618,208,0,1
(0)000000042307.jpg,0,429,174,449,199,0,2
(1)000000042307.jpg,1,342,190,384,255,1,2
(0)000000063477.jpg,0,150,121,222,218,1,2
(1)000000063477.jpg,1,377,88,415,145,0,2
(0)000000037499.jpg,0,303,66,371,150,1,2
(1)000000037499.jpg,1,231,20,269,65,0,2
(2)000000037499.jpg,2,103,86,152,151,0,2
(3)000000037499.jpg,3,417,9,474,66,0,2
(4)000000037499.jpg,4,436,82,485,142,0,2
(5)000000037499.jpg,5,568,9,618,86,0,2
(0)up4573.jpg,0,269,107,298,139,1,2
(1)up4573.jpg,1,141,148,172,181,1,2
(2)up4573.jpg,2,188,67,220,102,1,2
(3)up4573.jpg,3,115,46,149,85,1,2
(4)up4573.jpg,4,338,134,364,165,1,2
(0)000000095114.jpg,0,102,153,121,176,0,2
(1)000000095114.jpg,1,300,155,314,174,0,2
(2)000000095114.jpg,2,474,152,494,182,0,2
(3)000000095114.jpg,3,577,163,598,196,0,2
(4)000000095114.jpg,4,371,148,418,217,0,2
(5)000000095114.jpg,5,244,163,262,188,0,2
(6)000000095114.jpg,6,558,268,599,317,0,2
(7)000000095114.jpg,7,353,136,372,165,0,2
(8)000000095114.jpg,8,215,188,263,260,1,2
(9)000000095114.jpg,9,520,145,552,173,0,2
(10)000000095114.jpg,10,342,157,355,176,1,2
(0)up3023.jpg,0,126,96,154,133,1,2
(1)up3023.jpg,1,384,77,420,127,1,2
(2)up3023.jpg,2,313,101,343,138,1,2
(3)up3023.jpg,3,75,107,109,147,1,2
(4)up3023.jpg,4,228,101,256,137,1,2
(0)000000021239.jpg,0,29,115,48,136,1,2
(1)000000021239.jpg,1,76,119,91,137,1,2
(2)000000021239.jpg,2,549,117,563,134,1,2
(3)000000021239.jpg,3,210,124,225,142,1,2
(4)000000021239.jpg,4,246,126,260,142,1,2
(5)000000021239.jpg,5,292,125,308,142,1,2
(6)000000021239.jpg,6,418,124,433,143,1,2
(7)000000021239.jpg,7,501,122,516,142,1,2
(8)000000021239.jpg,8,588,121,605,144,1,2
(9)000000021239.jpg,9,455,131,470,153,1,2
(10)000000021239.jpg,10,345,174,362,195,1,2
(11)000000021239.jpg,11,400,206,419,227,1,2
(12)000000021239.jpg,12,485,211,502,236,1,2
(13)000000021239.jpg,13,371,123,384,141,1,2
(14)000000021239.jpg,14,536,215,554,238,1,2
(15)000000021239.jpg,15,581,214,599,235,1,2
(16)000000021239.jpg,16,132,178,151,205,1,2
(17)000000021239.jpg,17,327,120,341,137,1,2
(18)000000021239.jpg,18,119,132,132,149,1,2
(19)000000021239.jpg,19,217,186,232,204,1,2
(20)000000021239.jpg,20,154,129,168,149,1,2
(21)000000021239.jpg,21,178,117,192,134,1,2
(22)000000021239.jpg,22,271,174,286,194,1,2
(0)000000045457.jpg,0,139,22,166,52,0,2
(1)000000045457.jpg,1,127,113,152,144,0,2
(2)000000045457.jpg,2,220,171,256,214,1,2
(3)000000045457.jpg,3,378,22,405,52,0,2
(4)000000045457.jpg,4,293,26,320,57,0,2
(5)000000045457.jpg,5,50,37,78,66,0,2
(0)000000009549.jpg,0,36,177,50,196,1,2
(1)000000009549.jpg,1,204,203,215,222,1,2
(2)000000009549.jpg,2,182,208,194,228,1,2
(3)000000009549.jpg,3,264,191,274,208,1,2
(4)000000009549.jpg,4,521,252,527,261,0,1
(0)000000076983.jpg,0,230,55,257,89,0,2
(1)000000076983.jpg,1,315,0,566,246,1,2
(0)000000052633.jpg,0,225,163,248,190,0,2
(1)000000052633.jpg,1,165,166,200,208,1,2
(2)000000052633.jpg,2,257,151,289,189,1,2
(3)000000052633.jpg,3,18,158,50,195,1,2
(4)000000052633.jpg,4,395,32,437,77,1,2
(5)000000052633.jpg,5,162,122,176,138,0,2
(6)000000052633.jpg,6,76,123,91,138,0,2
(7)000000052633.jpg,7,13,107,24,121,0,2
(0)000000051069.jpg,0,87,200,105,222,0,2
(1)000000051069.jpg,1,553,366,599,446,0,2
(2)000000051069.jpg,2,286,167,306,198,1,2
(3)000000051069.jpg,3,65,209,80,230,0,2
(0)000000072532.jpg,0,15,44,51,87,0,2
(1)000000072532.jpg,1,175,7,208,51,0,2
(2)000000072532.jpg,2,288,52,330,112,1,2
(3)000000072532.jpg,3,411,5,444,42,0,2
(0)000000029282.jpg,0,27,41,65,94,0,2
(1)000000029282.jpg,1,136,57,157,84,0,2
(2)000000029282.jpg,2,177,46,208,89,0,2
(3)000000029282.jpg,3,81,53,113,94,0,2
(4)000000029282.jpg,4,234,102,284,164,1,2
(5)000000029282.jpg,5,299,53,334,97,0,2
(6)000000029282.jpg,6,234,38,262,75,0,2
(0)000000059734.jpg,0,341,29,372,61,0,2
(1)000000059734.jpg,1,219,50,235,68,0,2
(2)000000059734.jpg,2,238,50,253,69,0,2
(3)000000059734.jpg,3,294,62,313,82,0,2
(4)000000059734.jpg,4,254,49,272,74,0,2
(5)000000059734.jpg,5,8,11,26,29,0,2
(6)000000059734.jpg,6,538,39,559,64,0,2
(7)000000059734.jpg,7,426,61,444,84,0,2
(8)000000059734.jpg,8,291,41,305,56,0,2
(9)000000059734.jpg,9,479,50,496,73,0,2
(0)up1959.jpg,0,102,38,141,106,1,2
(1)up1959.jpg,1,231,63,270,127,0,2
(2)up1959.jpg,2,392,57,435,111,0,2
(0)up2969.jpg,0,281,20,304,53,0,2
(1)up2969.jpg,1,309,181,353,235,0,2
(0)000000105699.jpg,0,178,71,201,98,0,2
(1)000000105699.jpg,1,330,65,365,107,1,2
(2)000000105699.jpg,2,83,116,95,132,0,2
(3)000000105699.jpg,3,445,126,462,146,0,2
(4)000000105699.jpg,4,266,97,286,124,0,2
(5)000000105699.jpg,5,311,114,325,132,0,2
(0)000000035070.jpg,0,399,73,452,151,1,2
(1)000000035070.jpg,1,255,89,292,138,0,2
(0)000000078022.jpg,0,513,69,529,86,0,2
(1)000000078022.jpg,1,317,104,496,284,1,1
(0)up2769.jpg,0,286,178,304,198,0,2
(1)up2769.jpg,1,231,180,247,199,0,2
(2)up2769.jpg,2,260,177,276,196,0,2
(3)up2769.jpg,3,87,110,124,148,1,2
(0)up4779.jpg,0,408,73,430,101,0,2
(1)up4779.jpg,1,277,22,320,80,1,2
(0)000000075381.jpg,0,129,111,183,194,1,2
(1)000000075381.jpg,1,227,92,269,152,1,2
(2)000000075381.jpg,2,363,33,407,98,1,2
